Parameter Order,Rear Window Length (mm),Wind Shield Length (mm),Roof Length (mm),Rear Window Angle (70-85) ,Wind Shield Angle (50-65)(derece),Cd
8,721.8,688.46,2412.93,73.02,56.75,0.55226
9,704.0,675.54,2509.76,78.69,58.46,0.51859
10,734.03,665.69,2417.56,70.13,59.87,0.55205
11,707.34,729.24,2399.45,77.41,52.14,0.61108
12,723.39,721.39,2350.35,72.61,52.95,0.61087
13,698.78,645.95,2599.99,81.08,63.04,0.53561
14,731.48,704.15,2353.92,70.69,54.85,0.58311
15,709.12,671.4,2493.63,76.78,59.04,0.5257
16,710.24,651.95,2528.31,76.4,62.02,0.54318
17,721.83,681.45,2425.74,73.01,57.66,0.54649
18,699.58,651.77,2582.29,80.67,62.05,0.52907
19,700.32,747.23,2407.02,80.31,50.4,0.66494
20,704.55,675.47,2507.14,78.47,58.47,0.51951
21,695.8,718.84,2483.71,82.81,53.22,0.55336
22,728.67,700.64,2368.67,71.33,55.26,0.57658
23,693.28,731.33,2486.32,84.71,51.93,0.57369
24,716.35,745.51,2336.28,74.51,50.56,0.68557
25,732.11,689.56,2377.92,70.55,56.61,0.56027
26,696.64,650.63,2604.57,82.28,62.24,0.52141
27,716.07,642.34,2526.11,74.59,63.68,0.56824
28,733.02,698.03,2360.04,70.35,55.57,0.57495
29,694.92,704.5,2515.45,83.41,54.81,0.52876
30,703.81,646.35,2570.39,78.77,62.97,0.54316
31,693.93,639.71,2651.76,84.16,64.16,0.52844
32,729.63,646.12,2471.75,71.11,63.01,0.57612
33,721.18,750.93,2310.43,73.18,50.06,0.73291
34,709.77,677.95,2478.27,76.56,58.13,0.52951
35,722.07,702.94,2386.19,72.95,54.99,0.5735
36,724.79,712.11,2361.28,72.26,53.95,0.5935
37,731.75,650.15,2456.48,70.63,62.32,0.5668
38,724.55,666.57,2445.25,72.32,59.74,0.54912
39,704.8,639.49,2580.79,78.37,64.2,0.56171
40,710.82,691.8,2448.22,76.21,56.33,0.54354
41,727.1,673.1,2424.21,71.7,58.8,0.54734
42,730.33,642.84,2476.89,70.95,63.59,0.58314
43,695.06,649.32,2620.0,83.31,62.46,0.51553
44,721.57,652.86,2483.39,73.08,61.87,0.55544
45,695.01,666.77,2584.41,83.35,59.71,0.49832
46,702.27,726.2,2429.67,79.42,52.45,0.5921
47,712.53,675.54,2471.35,75.66,58.46,0.52909
48,719.02,731.83,2348.34,73.76,51.88,0.63576
49,731.44,656.95,2443.06,70.7,61.21,0.55719
50,715.39,638.21,2538.15,74.79,64.44,0.57931
51,708.83,686.03,2467.26,76.88,57.06,0.53341
52,694.47,663.15,2596.4,83.74,60.25,0.49775
53,699.77,733.64,2431.97,80.58,51.7,0.60689
54,730.24,647.8,2466.18,70.97,62.72,0.57316
55,730.64,750.05,2281.16,70.88,50.14,0.73081
56,694.22,663.55,2597.92,83.93,60.19,0.49565
57,720.39,678.83,2435.64,73.39,58.01,0.54282
58,717.12,717.72,2378.5,74.29,53.34,0.59055
59,727.95,682.05,2404.55,71.5,57.58,0.55219
60,721.3,648.85,2492.91,73.15,62.54,0.56278
61,734.08,750.16,2270.68,70.12,50.13,0.73491
62,717.22,689.56,2427.14,74.26,56.61,0.54749
63,728.89,708.8,2353.85,71.28,54.32,0.58864
64,696.63,693.01,2522.02,82.29,56.18,0.5189
65,724.27,677.73,2424.54,72.39,58.16,0.54923
66,718.19,697.95,2408.6,73.99,55.58,0.5619
67,707.59,674.89,2493.75,77.32,58.55,0.52225
68,694.56,732.74,2471.39,83.67,51.79,0.5845
69,705.16,643.17,2570.67,78.23,63.53,0.55288
70,692.97,642.78,2655.0,85.0,63.6,0.51423
71,695.59,659.37,2594.44,82.95,60.83,0.50519
72,710.21,707.73,2422.73,76.41,54.44,0.56867
73,715.36,703.03,2410.19,74.8,54.98,0.56726
74,702.9,663.62,2538.88,79.15,60.18,0.52083
75,702.75,671.9,2523.28,79.21,58.97,0.51733
76,693.01,735.47,2482.67,84.96,51.52,0.58528
77,694.63,652.07,2617.88,83.62,62.0,0.50801
78,723.71,652.99,2475.87,72.53,61.85,0.56015
79,721.87,723.78,2351.54,73.0,52.7,0.61202
80,713.76,672.46,2472.38,75.28,58.89,0.53124
81,693.42,684.11,2566.34,84.59,57.31,0.49194
82,724.35,707.03,2371.44,72.37,54.52,0.58553
83,703.18,700.89,2467.68,79.03,55.23,0.54767
84,716.77,637.83,2533.83,74.39,64.51,0.58187
85,701.75,641.95,2591.19,79.65,63.75,0.55202
86,705.16,709.69,2442.42,78.23,54.22,0.56451
87,699.73,643.34,2599.85,80.6,63.5,0.54492
88,719.94,636.57,2525.3,73.51,64.75,0.59052
89,710.55,738.76,2370.0,76.3,51.2,0.64924
90,696.1,676.27,2557.03,82.62,58.36,0.50087
91,693.52,687.05,2559.83,84.5,56.93,0.49445
92,703.3,693.99,2479.29,78.98,56.06,0.53632
93,694.62,726.88,2480.42,83.63,52.38,0.56631
94,710.27,645.95,2541.21,76.39,63.04,0.55456
95,694.09,748.85,2450.16,84.03,50.25,0.66297
96,729.67,686.89,2390.23,71.1,56.95,0.55895
97,696.83,745.29,2433.0,82.17,50.58,0.64345
98,714.42,679.65,2456.09,75.08,57.9,0.53661
301,721.95,664.75,2457.6,72.98,60.01,0.54408887
302,697.48,694.64,2512.96,81.79,55.98,0.5232934
303,723.12,691.56,2402.81,72.68,56.36,0.55713691
304,713.27,645.89,2529.04,75.43,63.05,0.55862651
305,717.47,694.89,2416.64,74.19,55.95,0.55452018
306,700.59,646.75,2587.08,80.18,62.9,0.5407167
307,725.94,669.24,2435.45,71.98,59.35,0.54900542
308,728.72,651.47,2462.96,71.32,62.1,0.56491857
309,720.88,734.05,2338.21,73.26,51.66,0.64622153
310,695.6,670.08,2572.89,82.94,59.23,0.4983089
311,716.38,744.76,2337.33,74.5,50.63,0.68147821
312,699.07,714.12,2468.53,80.93,53.73,0.5614115
313,710.91,668.35,2491.97,76.18,59.48,0.52993457
314,705.21,713.39,2435.87,78.21,53.81,0.56999843
315,696.94,694.64,2516.77,82.1,55.98,0.5222316
316,717.86,653.35,2495.45,74.08,61.79,0.5498953
317,720.99,652.86,2485.36,73.23,61.87,0.55616604
318,714.25,665.96,2483.21,75.13,59.83,0.53434475
319,693.48,673.89,2585.01,84.54,58.69,0.48445619
320,725.04,641.45,2496.75,72.2,63.84,0.5843082
321,729.32,650.75,2462.62,71.18,62.22,0.56724662
322,708.8,716.51,2413.93,76.89,53.47,0.57616836
323,718.29,684.18,2433.1,73.96,57.3,0.5439128
324,718.91,668.14,2461.5,73.79,59.51,0.53946692
325,695.34,732.03,2465.81,83.12,51.86,0.58578536
326,719.39,676.85,2442.94,73.66,58.28,0.54026006
327,699.71,724.65,2447.0,80.61,52.61,0.58311866
328,701.22,720.25,2445.35,79.89,53.07,0.57598012
329,696.3,735.37,2452.71,82.49,51.53,0.60043357
330,697.32,646.0,2609.72,81.88,63.03,0.53151528
331,705.7,671.76,2508.63,78.02,58.99,0.51944545
332,719.61,666.3,2462.66,73.6,59.78,0.54206498
333,693.37,735.78,2478.17,84.63,51.49,0.58904486
334,697.83,715.58,2474.19,81.59,53.57,0.55675916
335,701.39,718.65,2447.02,79.81,53.24,0.5722812
336,698.55,668.55,2554.51,81.2,59.45,0.51017555
337,719.5,665.02,2465.6,73.63,59.97,0.54274399
338,716.28,725.91,2368.03,74.53,52.48,0.61170119
339,697.53,703.29,2497.33,81.76,54.95,0.5379515
340,733.15,721.39,2319.65,70.32,52.95,0.61333414
341,726.1,724.45,2336.38,71.94,52.63,0.61860966
342,701.79,683.34,2506.81,79.63,57.41,0.52354229
343,699.67,706.06,2478.57,80.63,54.63,0.54848545
344,724.88,736.91,2320.14,72.24,51.38,0.65902156
345,732.34,713.02,2336.12,70.5,53.85,0.59735004
346,710.27,661.18,2508.98,76.39,60.55,0.53256281
347,716.35,651.65,2504.65,74.51,62.07,0.55036956
348,702.27,664.08,2541.32,79.42,60.11,0.52017197
349,712.31,698.87,2429.47,75.73,55.47,0.55713137
350,707.12,745.08,2375.1,77.49,50.6,0.66834829
351,702.29,674.53,2520.69,79.41,58.6,0.51778999
352,715.02,717.81,2386.25,74.9,53.33,0.58994035
353,697.91,648.03,2601.22,81.55,62.68,0.5301766
354,709.01,739.8,2374.96,76.82,51.1,0.65025102
355,695.97,714.94,2488.9,82.7,53.64,0.54969054
356,729.15,731.93,2314.53,71.22,51.87,0.64454681
357,703.2,702.09,2465.46,79.02,55.09,0.54932841
358,698.94,733.64,2437.16,81.0,51.7,0.60404891
359,709.95,724.26,2396.07,76.5,52.65,0.60077794
360,715.49,750.82,2331.21,74.76,50.07,0.72330287
361,704.55,717.25,2432.63,78.47,53.39,0.57339338
362,728.55,661.31,2442.99,71.36,60.53,0.55357086
363,704.9,663.95,2527.94,78.33,60.13,0.52231012
